customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0037,Female,1,Yes,Yes,19,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),74.71,1442.21,No
C0038,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.29,1195.62,No
C0039,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),91.44,2134.79,Yes
C0040,Male,0,Yes,Yes,62,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),86.62,5300.11,No
C0041,Male,1,Yes,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),49.81,2783.48,No
C0042,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,35.68,248.56,No
C0043,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,28.24,1704.2,No
C0044,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,91.73,2528.97,Yes
C0045,Female,0,No,No,16,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),63.04,1058.54,No
C0046,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),50.35,3281.25,No
C0047,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),103.67,531.4,No
C0048,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.36,4480.75,No
C0049,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.8,4736.63,No
C0050,Female,0,No,Yes,27,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,92.34,2473.74,No
C0051,Male,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),99.56,6141.22,No
C0052,Female,1,Yes,No,40,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,86.61,3389.86,No
C0053,Male,0,No,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,62.0,4218.56,No
C0054,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),55.93,2200.32,No
C0055,Male,1,Yes,No,48,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,95.17,4582.79,No
C0056,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.79,3378.52,No
C0057,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,88.44,6222.18,Yes
C0058,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,107.04,265.39,No
C0059,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,109.59,973.68,Yes
C0060,Male,0,No,No,34,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),45.77,1546.67,Yes
C0061,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.79,63.12,No
C0062,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.13,1059.37,No
C0063,Male,0,No,No,37,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,93.14,3381.16,No
C0064,Male,0,No,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,55.01,1170.92,Yes
C0065,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,35.34,863.74,No
C0066,Female,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,27.84,1173.64,No
C0067,Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,50.73,2721.59,No
C0068,Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.61,1165.04,Yes
C0069,Female,1,No,Yes,28,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),33.64,890.99,No
C0070,Female,0,No,No,19,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),86.39,1633.86,No
C0071,Female,0,Yes,No,40,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,19.97,816.72,No
C0072,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.76,1547.13,No
C0073,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.44,2005.85,Yes
C0074,Female,0,Yes,No,18,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.49,1967.74,No
C0075,Male,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),50.92,3330.46,No
C0076,Female,1,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,26.8,775.14,No
C0077,Female,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.5,4556.39,No
C0078,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),54.01,1800.83,No
C0079,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,22.55,547.41,Yes
C0080,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,33.78,2326.9,No
C0081,Male,0,Yes,Yes,5,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,31.72,228.41,Yes
C0082,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,76.91,2041.83,No
C0083,Male,0,No,No,9,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.81,990.8,Yes
C0084,Female,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),97.31,4521.14,Yes
C0085,Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,72.65,5007.86,No
C0086,Male,0,Yes,No,58,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,60.22,3481.97,No
C0087,Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,79.87,4627.8,No
C0088,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),62.38,26.41,No
C0089,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.61,1230.97,Yes
C0090,Female,0,No,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,85.92,5742.95,No
C0091,Female,0,No,No,64,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,105.32,6722.73,No
C0092,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),55.29,1346.45,No
C0093,Female,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.15,930.96,Yes
C0094,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),61.11,3252.56,No
C0095,Female,1,Yes,Yes,58,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,58.13,3371.03,No
C0096,Female,0,No,No,21,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,20.83,451.52,No
C0097,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.53,4473.26,No
C0098,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),98.75,4701.42,No
C0099,Female,0,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),84.36,1716.59,No
C0100,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),33.14,723.22,No
C0101,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.33,791.42,No
C0102,Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.29,1771.92,Yes
C0103,Female,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,58.15,1577.12,No
C0104,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,60.91,3906.58,No
C0105,Female,0,No,No,44,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,114.78,5007.83,Yes
C0106,Female,0,Yes,No,67,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,90.39,6091.29,Yes
C0107,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.18,341.22,No
C0108,Female,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,19.91,1012.05,No
C0109,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),21.41,168.51,No
C0110,Male,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.48,3019.6,Yes
C0111,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),101.77,0.0,No
C0112,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,88.77,757.54,No
C0113,Female,0,No,Yes,35,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),58.59,2116.54,No
C0114,Female,0,No,No,45,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),21.11,963.4,No
C0115,Male,1,No,No,31,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,114.74,3576.41,Yes
C0116,Female,1,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,116.63,3695.56,Yes
C0117,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),72.94,298.82,Yes
C0118,Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),25.07,1211.85,Yes
C0119,Female,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,72.1,2588.31,No
C0120,Male,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),107.23,1693.8,Yes
C0121,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.0,2178.75,No
C0122,Male,0,Yes,No,53,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,90.0,4812.93,No
C0123,Female,0,No,No,49,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),26.5,1204.01,Yes
C0124,Male,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.65,962.6,No
C0125,Male,0,Yes,No,24,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,30.73,679.58,Yes
C0126,Female,0,No,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,108.44,2885.14,Yes
C0127,Female,0,No,No,14,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),70.58,953.08,No
C0128,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),97.16,357.44,Yes
C0129,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.53,751.02,No
C0130,Female,0,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,110.76,2855.37,No
C0131,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.11,1898.81,No
C0132,Male,1,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,40.48,753.36,No
C0133,Male,0,No,No,42,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),105.42,4424.7,No
C0134,Male,0,Yes,No,40,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.34,1784.12,No
C0135,Male,0,No,No,41,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.53,1598.63,No
C0136,Male,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.42,2158.21,No
C0137,Male,0,No,Yes,39,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,109.0,4272.22,No
C0138,Male,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,109.56,4116.52,Yes
C0139,Male,0,Yes,Yes,22,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,50.9,1026.03,No
C0140,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),88.54,4551.25,No
C0141,Female,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),85.57,3918.73,No
C0142,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.66,6068.09,No
C0143,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.65,3197.69,No
C0144,Female,0,Yes,No,42,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.01,2974.18,No
C0145,Female,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),84.77,4007.4,No
C0146,Male,1,No,No,33,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),20.63,604.67,No
C0147,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.67,2111.78,No
C0148,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),87.59,5240.81,No
C0149,Male,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),43.26,2143.56,No
C0150,Female,0,Yes,No,66,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),113.77,7469.09,No
C0151,Male,0,Yes,No,61,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),21.02,1273.57,No
C0152,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,113.81,6492.9,No
C0153,Male,0,No,No,32,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),39.68,1276.52,No
C0154,Male,0,Yes,No,15,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,22.88,223.44,No
C0155,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,47.25,2231.83,No
C0156,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),96.63,783.03,No
C0157,Male,0,No,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,93.24,3435.56,No
C0158,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),38.88,674.77,No
C0159,Male,0,No,No,35,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),37.68,1264.86,No
C0160,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),82.26,4813.24,No
C0161,Male,0,No,No,62,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),63.81,3900.02,Yes
C0162,Male,1,Yes,No,45,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.23,4349.2,No
C0163,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),20.41,84.76,No
C0164,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.04,5030.98,Yes
C0165,Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.07,599.56,No
C0166,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,117.34,5853.59,No
C0167,Female,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.88,456.43,No
C0168,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,41.18,1637.16,No
C0169,Male,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.82,1653.57,No
C0170,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),82.09,2173.68,No
C0171,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.32,3713.14,No
C0172,Male,1,Yes,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.91,3896.27,No
C0173,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,90.66,686.77,No
C0174,Female,0,No,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),68.97,3827.78,No
C0175,Female,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,58.36,3339.02,No
C0176,Female,1,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),58.44,0.0,Yes
C0177,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.63,2464.39,Yes
C0178,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.73,1156.99,No
C0179,Male,1,Yes,No,59,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),75.49,4506.14,No
